,Parameter Name,Latitude,Longitude,LU,Arithmetic Mean
46,PM2.5 - Local Conditions,33.85275,-116.54101000000001,"{'Shrub-brushland rangeland': 0.5102040816326531, 'Other urban or built-up land': 0.00510204081632653, 'Residential': 0.41836734693877553, 'Mixed urban or built-up land': 0.0663265306122449}",0.005548214
260,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.012606145
261,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.012497199
262,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.012606145
272,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.012541667000000001
273,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.012541667000000001
274,PM2.5 - Local Conditions,33.99958,-117.41601000000001,"{'Commercial and Services': 0.3333333333333333, 'Residential': 0.6231884057971014, 'Orchards, groves, vineyards, nurseries..': 0.043478260869565216}",0.011879661000000001
433,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.014079201999999999
434,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.014079201999999999
435,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.013984571
445,PM2.5 - Local Conditions,33.995638,-117.49330400000001,"{'Commercial and Services': 0.12, 'Residential': 0.75, 'Cropland and pasture': 0.13}",0.014141379
