Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[  36.953256 -120.034203],0.011043549,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.02,0.0,0,0,0.21,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  37.308537 -120.480993],0.00954958,0.0,0.0,0.0,0.0,0,0,0,0.0,0.00990099009901,0.143564356436,0.0,0,0,0.49504950495,0,0,0,0.351485148515,0,0.0
PM2.5 - Local Conditions,[  36.69676  -121.637182],0.009128319,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.285714285714,0.0,0,0,0.571428571429,0,0,0,0.142857142857,0,0.0
PM2.5 - Local Conditions,[  33.83062 -117.93845],0.006803636,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.58,0.0,0,0,0.17,0,0,0,0.25,0,0.0
PM2.5 - Local Conditions,[  33.63003 -117.67593],0.016035,0.0,0.0,0.0,0.0,0,0,0,0.0,0.2,0.0,0.0,0,0,0.0,0,0,0,0.51,0,0.0
PM2.5 - Local Conditions,[  38.745726 -121.266312],0.01574827,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.17,0,0,0.54,0,0,0,0.16,0,0.01
PM2.5 - Local Conditions,[  39.937099 -120.938821],0.014849573,0.21,0.0,0.0,0.0,0,0,0,0.0,0.0,0.34,0.0,0,0,0.15,0,0,0,0.3,0,0.0
PM2.5 - Local Conditions,[  39.81336 -120.47069],0.014583193,0.520833333333,0.0,0.0,0.0,0,0,0,0.0,0.0208333333333,0.0833333333333,0.0,0,0,0.0,0,0,0,0.375,0,0.0
PM2.5 - Local Conditions,[  33.99958 -117.41601],0.01470678,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  33.447867 -117.088649],0.004973684,0.0,0.68,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.21,0,0,0,0.0,0,0.0
