Parameter Name,Site_keys,LU,ppm
Suspended particulate (TSP),[  37.886869 -122.027462],"{'Residential': 0.97, 'Evergreen forest land': 0.03}",195.53571399999998
Suspended particulate (TSP),[  37.936013 -122.026154],"{'Commercial and Services': 0.6, 'Residential': 0.4}",77.491228
Suspended particulate (TSP),[  37.949924 -122.357193],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6176470588235294, 'Industrial': 0.3627450980392157}",100.540984
Suspended particulate (TSP),[  38.029258 -121.896866],"{'Residential': 0.17, 'Industrial': 0.46, 'Other urban or built-up land': 0.25, 'Nonforested wetland': 0.12}",85.807018
Suspended particulate (TSP),[  36.737172 -119.753754],"{'Commercial and Services': 0.63, 'Residential': 0.37}",73.65
Suspended particulate (TSP),[  36.725228 -119.751254],"{'Commercial and Services': 0.46, 'Residential': 0.23, 'Industrial': 0.12, 'Cropland and pasture': 0.19}",92.35
Suspended particulate (TSP),[  36.813561 -119.741255],"{'Commercial and Services': 0.3, 'Residential': 0.03, 'Cropland and pasture': 0.67}",92.75862099999999
Suspended particulate (TSP),[  36.145789 -120.359316],"{'Commercial and Services': 0.78125, 'Residential': 0.21875}",98.894737
Suspended particulate (TSP),[  36.341062 -120.105699],"{'Residential': 0.1452991452991453, 'Cropland and pasture': 0.8547008547008547}",102.534483
Suspended particulate (TSP),[  40.869017 -124.085062],"{'Commercial and Services': 0.51, 'Residential': 0.28, 'Industrial': 0.01, 'Herbaceous Rangeland': 0.05, 'Transportation, communications and services': 0.15}",113.6
Suspended particulate (TSP),[  40.791516 -124.175062],"{'Residential': 0.58, 'Industrial': 0.42}",69.948276
Suspended particulate (TSP),[  40.80178 -124.1621 ],"{'Commercial and Services': 0.62, 'Residential': 0.38}",111.91803300000001
Suspended particulate (TSP),[  32.979213 -115.530267],"{'Commercial and Services': 0.41, 'Mixed urban or built-up land': 0.2, 'Residential': 0.39}",77.64285699999998
