Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Average Ambient Pressure,Average Ambient Temperature,Outdoor Temperature,Solar radiation,Wind Speed - Resultant
PM2.5 - Local Conditions,[  33.859444 -118.200278],0.012445413999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.26,0.0,0.0,0,0,0.18,0,0,0,0.18,0,0.38,759.306818,19.961932,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.06659 -118.22688],0.011680833,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0310880829016,0.518134715026,0,0,0.0,0,0,0,0.0,0,0.450777202073,752.695775,20.207887,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.19925 -118.53276],0.014782773999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.324324324324,0.0,0,0,0.0,0,0,0,0.675675675676,0,0.0,742.371681,19.748673,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.01194 -118.06995],0.011904238000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.03,0.0,0,0,0.0,0,0,0,0.81,0,0.0,758.0,19.313333,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  34.1326 -118.1272],0.01218999575,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.21,0.0,0,0,0.0,0,0,0,0.79,0,0.0,743.243697,18.690756,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.953256 -120.034203],0.011043549,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.02,0.0,0,0,0.21,0,0,0,0.0,0,0.0,754.0,16.119643,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  37.308537 -120.480993],0.00954958,0.0,0.0,0.0,0.0,0,0,0,0.0,0.00990099009901,0.143564356436,0.0,0,0,0.49504950495,0,0,0,0.35148514851499996,0,0.0,757.172414,18.647414,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.69676  -121.637182],0.009128319000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.28571428571400004,0.0,0,0,0.5714285714289999,0,0,0,0.14285714285700002,0,0.0,759.596491,13.603509,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.83062 -117.93845],0.006803636,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.58,0.0,0,0,0.17,0,0,0,0.25,0,0.0,761.157143,19.875143,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.63003 -117.67593],0.016035,0.0,0.0,0.0,0.0,0,0,0,0.0,0.2,0.0,0.0,0,0,0.0,0,0,0,0.51,0,0.0,748.333333,18.971795,50.37607266071428,0.07622203571428572,3.0030035357142855
