Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[ 33.533716 -86.850824],121.417241,0.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.46,0.08,0,0,0.0,0,0,0,0.37,0,0.0,0.0
Suspended particulate (TSP),[ 33.553056 -86.815   ],109.468085,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.86,0.0,0,0,0.0,0,0,0,0.1,0,0.04,0.0
Suspended particulate (TSP),[ 33.565104 -86.77999 ],83.310811,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.07,0.0,0,0,0.0,0,0,0,0.93,0,0.0,0.0
Suspended particulate (TSP),[ 33.485556 -86.915   ],60.972973,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0384615384615,0.115384615385,0,0,0.0,0,0,0,0.846153846154,0,0.0,0.0
Suspended particulate (TSP),[ 33.602325 -86.690545],77.433962,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0654205607477,0.0,0.0,0,0,0.0,0,0,0,0.934579439252,0,0.0,0.0
Suspended particulate (TSP),[ 33.443165 -86.993327],52.933333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.295774647887,0.0,0,0,0.0,0,0,0,0.704225352113,0,0.0,0.0
Suspended particulate (TSP),[ 33.544271 -86.541651],79.472727,0.0280373831776,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.411214953271,0.0,0,0,0.0,0,0,0,0.560747663551,0,0.0,0.0
Suspended particulate (TSP),[ 33.578333 -86.773889],54.95082,0.0727272727273,0.0,0.0,0.0,0.0,0,0,0.0,0.0909090909091,0.0,0.0,0,0,0.0,0,0,0,0.836363636364,0,0.0,0.0
Suspended particulate (TSP),[ 33.437052 -86.899714],60.512821,0.21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.54,0,0.25,0.0
Suspended particulate (TSP),[ 33.467884 -86.740544],74.401786,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.794255 -87.682807],61.135135,0.0683760683761,0.0,0.0,0.0,0.0,0,0,0.0,0.0854700854701,0.145299145299,0.0,0,0,0.0,0,0,0,0.700854700855,0,0.0,0.0
Suspended particulate (TSP),[ 34.792866 -87.679196],58.37931,0.0373831775701,0.0,0.00934579439252,0.0,0.0,0,0,0.0,0.457943925234,0.0654205607477,0.0,0,0,0.0,0,0,0,0.429906542056,0,0.0,0.0
Suspended particulate (TSP),[ 34.786755 -87.782531],56.278689,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.793422 -87.8492  ],41.068966,0.0909090909091,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.909090909091,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.808143 -87.62975 ],60.070175,0.0,0.0,0.26,0.0,0.0,0,0,0.0,0.64,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.479262 -87.291687],39.637931,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.13829787234,0.0,0,0,0.531914893617,0,0,0,0.255319148936,0,0.0,0.0
Suspended particulate (TSP),[ 32.643467 -85.403003],55.393443,0.04,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.21,0.0,0,0,0.0,0,0,0,0.36,0,0.0,0.0
Suspended particulate (TSP),[ 34.828977 -86.975285],50.172414,0.21875,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.78125,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.803421 -86.965007],62.26,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.13,0.145,0.0,0,0,0.5,0,0,0,0.225,0,0.0,0.0
Suspended particulate (TSP),[ 34.685923 -87.070845],72.145455,0.24,0.0,0.76,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
