Unnamed: 0,Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
42,Suspended particulate (TSP),[ 33.485556 -86.915   ],0.060972973,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0384615384615,0.115384615385,0.0,0,0.0,0,0,0,0.846153846154,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
43,Suspended particulate (TSP),[ 33.602325 -86.690545],0.077433962,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0654205607477,0.0,0.0,0.0,0,0.0,0,0,0,0.934579439252,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
44,Suspended particulate (TSP),[ 33.443165 -86.993327],0.052933333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.295774647887,0.0,0.0,0,0.0,0,0,0,0.704225352113,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
45,Suspended particulate (TSP),[ 33.544271 -86.541651],0.079472727,0.0280373831776,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.411214953271,0.0,0.0,0,0.0,0,0,0,0.560747663551,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
46,Suspended particulate (TSP),[ 33.578333 -86.773889],0.05495082,0.07272727272730001,0.0,0.0,0.0,0.0,0,0,0.0,0.0909090909091,0.0,0.0,0.0,0,0.0,0,0,0,0.836363636364,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
47,Suspended particulate (TSP),[ 33.437052 -86.899714],0.060512821,0.21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.54,0,0.25,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
48,Suspended particulate (TSP),[ 33.467884 -86.740544],0.074401786,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
49,Suspended particulate (TSP),[ 34.794255 -87.682807],0.061135135,0.0683760683761,0.0,0.0,0.0,0.0,0,0,0.0,0.0854700854701,0.14529914529899998,0.0,0.0,0,0.0,0,0,0,0.700854700855,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
50,Suspended particulate (TSP),[ 34.792866 -87.679196],0.05837931,0.0373831775701,0.0,0.00934579439252,0.0,0.0,0,0,0.0,0.457943925234,0.0654205607477,0.0,0.0,0,0.0,0,0,0,0.429906542056,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
51,Suspended particulate (TSP),[ 34.786755 -87.782531],0.05627868900000001,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
