Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[  37.308537 -120.480993],0.00954958,0.0,0.0,0.0,0.0,0,0,0,0.0,0.009900990099009901,0.14356435643564355,0.0,0,0,0.49504950495049505,0,0,0,0.35148514851485146,0,0.0
PM2.5 - Local Conditions,[  36.69676  -121.637182],0.009128319,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2857142857142857,0.0,0,0,0.5714285714285714,0,0,0,0.14285714285714285,0,0.0
PM2.5 - Local Conditions,[  33.83062 -117.93845],0.006803636,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.58,0.0,0,0,0.17,0,0,0,0.25,0,0.0
PM2.5 - Local Conditions,[  33.63003 -117.67593],0.016035,0.0,0.0,0.0,0.0,0,0,0,0.0,0.2,0.0,0.0,0,0,0.0,0,0,0,0.51,0,0.0
PM2.5 - Local Conditions,[  38.745726 -121.266312],0.01574827,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.17,0,0,0.54,0,0,0,0.16,0,0.01
PM2.5 - Local Conditions,[  39.937099 -120.938821],0.014849573000000001,0.21,0.0,0.0,0.0,0,0,0,0.0,0.0,0.34,0.0,0,0,0.15,0,0,0,0.3,0,0.0
PM2.5 - Local Conditions,[  39.81336 -120.47069],0.014583193,0.5208333333333334,0.0,0.0,0.0,0,0,0,0.0,0.020833333333333332,0.08333333333333333,0.0,0,0,0.0,0,0,0,0.375,0,0.0
PM2.5 - Local Conditions,[  33.99958 -117.41601],0.01470678,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  33.447867 -117.088649],0.004973684000000001,0.0,0.68,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.21,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  33.944713 -116.830074],0.006168421,0.0,0.54,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.41,0,0,0,0.05,0,0.0
PM2.5 - Local Conditions,[  33.70853 -116.21537],0.012981667,0.0,0.0,0.0,0.0,0,0,0,0.14,0.0,0.08,0.0,0,0,0.32,0,0,0,0.16,0,0.0
PM2.5 - Local Conditions,[  33.85275 -116.54101],0.012542558999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.00510204081632653,0.0,0.0,0,0,0.0,0,0,0,0.41836734693877553,0,0.0
PM2.5 - Local Conditions,[  33.995638 -117.493304],0.011571901,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.0,0,0,0.13,0,0,0,0.75,0,0.0
PM2.5 - Local Conditions,[  38.613779 -121.368014],0.010332142999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.558228 -121.492981],0.011255172,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.593322 -121.503795],0.008045263,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0,0,0.015,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  38.556326 -121.458499],0.008645161,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - Local Conditions,[  38.66121 -121.73269],0.006930392,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  37.348497 -121.894898],0.007616378999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.1
PM2.5 - Local Conditions,[  34.030833 -117.61722 ],0.01456,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08264462809917356,0,0,0.19008264462809918,0,0,0,0.0,0,0.01652892561983471
PM2.5 - Local Conditions,[  34.10002 -117.49201],0.008476705000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21359223300970873,0.02912621359223301,0.0,0,0,0.0,0,0,0,0.7572815533980582,0,0.0
PM2.5 - Local Conditions,[  34.264444 -116.864444],0.006316667,0.6134969325153374,0.0,0.05521472392638037,0.0,0,0,0,0.0,0.0,0.0,0.024539877300613498,0,0,0.0,0,0,0,0.3067484662576687,0,0.0
PM2.5 - Local Conditions,[  34.10688 -117.27411],0.007309540499999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.34,0.34,0.0,0,0,0.02,0,0,0,0.3,0,0.0
PM2.5 - Local Conditions,[  32.631231 -117.059075],0.002985246,0.0,0.0,0.0,0.0,0,0,0,0.004098360655737705,0.0,0.18032786885245902,0.4098360655737705,0,0,0.0,0,0,0,0.4057377049180328,0,0.0
PM2.5 - Local Conditions,[  32.701492 -117.149653],0.008118519000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0891089108910891,0.04950495049504951,0,0,0.0,0,0,0,0.12871287128712872,0,0.7326732673267327
PM2.5 - Local Conditions,[  32.845467 -117.123894],0.0062816669999999995,0.0,0.14,0.0,0.0,0,0,0,0.0,0.0,0.0,0.16,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  32.817978 -116.968133],0.007600915,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.09,0.17,0,0,0.0,0,0,0,0.0,0,0.52
PM2.5 - Local Conditions,[  32.789561 -116.944222],0.0130603705,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.08256880733944955,0.0,0,0,0.0,0,0,0,0.9174311926605505,0,0.0
PM2.5 - Local Conditions,[  40.549985 -122.382011],0.008726705000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - Local Conditions,[  41.726892 -122.633579],0.00505,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.25,0.2,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[  37.641583 -120.994622],0.003461538,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.78,0.0,0,0,0.0,0,0,0,0.19,0,0.03
PM2.5 - Local Conditions,[  39.138773 -121.618549],0.0060542370000000005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.28,0.0,0,0,0.0,0,0,0,0.47,0,0.25
PM2.5 - Local Conditions,[  36.332179 -119.291228],0.004936207,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.92,0.0,0,0,0.0,0,0,0,0.08,0,0.0
PM2.5 - combined,[  35.356092 -119.041209],0.018841385,0.0,0.0,0.0,0.0,0,0,0,0.0,0.18,0.16,0.06,0,0,0.0,0,0,0,0.6,0,0.0
PM2.5 - combined,[  39.761538 -121.84162 ],0.029826488999999987,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.38461538461538464,0.0,0,0,0.0,0,0,0,0.6153846153846154,0,0.0
PM2.5 - combined,[  41.560952 -124.083964],0.030753264000000013,0.9009009009009009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0990990990990991,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.976    -120.103506],0.0070407859999999985,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.9248 -119.97  ],4.804e-06,0.99,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.01,0,0.0
PM2.5 - combined,[  36.785322 -119.774174],1.3467000000000003e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1935483870967742,0.0,0,0,0.0,0,0,0,0.8064516129032258,0,0.0
PM2.5 - combined,[  37.22064  -119.155557],2.741e-06,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  32.676186 -115.484144],2.35e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0
PM2.5 - combined,[  37.360684 -118.330783],0.11468584199999995,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.77453 -122.6995 ],5.1379e-05,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.84846 -122.75797],2.8301999999999998e-05,0.8928571428571429,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  33.901389 -118.205   ],7.6030000000000016e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - combined,[  33.955    -118.056389],0.029035166000000005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21,0.77,0.0,0,0,0.0,0,0,0,0.0,0,0.02
PM2.5 - combined,[  33.79236 -118.17533],0.005522651,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0
PM2.5 - combined,[  33.9508  -118.43043],2.7063e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0,0,0.0,0,0,0,0.19,0,0.21
PM2.5 - combined,[  34.06659 -118.22688],5.1360000000000005e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.031088082901554404,0.5181347150259067,0,0,0.0,0,0,0,0.0,0,0.45077720207253885
PM2.5 - combined,[  34.006389 -118.193056],7.0549999999999985e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.0,0.12,0,0,0.0,0,0,0,0.0,0,0.72
PM2.5 - combined,[  34.008333 -118.190556],0.005939007999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.37,0,0,0.0,0,0,0,0.0,0,0.63
PM2.5 - combined,[  34.01194 -118.06995],0.005137417,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.03,0.0,0,0,0.0,0,0,0,0.81,0,0.0
PM2.5 - combined,[  34.813034 -118.884819],0.056031790000000005,0.09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.21,0,0,0.41,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.122979 -122.90944 ],0.023193279,0.31,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.69,0,0,0,0.0,0,0.0
PM2.5 - combined,[  37.71325 -119.7062 ],0.006693358000000001,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.088023 -119.178069],0.008427372999999998,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  39.81336 -120.47069],0.045862736000000015,0.5208333333333334,0.0,0.0,0.0,0,0,0,0.0,0.020833333333333332,0.08333333333333333,0.0,0,0,0.0,0,0,0,0.375,0,0.0
PM2.5 - combined,[  33.99958 -117.41601],0.003098005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - combined,[  33.463644 -116.971457],5.9559e-05,0.38650306748466257,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.613779 -121.368014],0.028776748000000005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - combined,[  38.558228 -121.492981],0.003575299,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - combined,[  37.348497 -121.894898],4.217e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.1
PM2.5 - combined,[  37.329841 -121.815438],0.015272461999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.57,0.28,0,0,0.14,0,0,0,0.0,0,0.0
