Site,commercial,crop_land,forest,industrial,medium_density_residential,open_land,transitional,transportation,urban_public_institution,water,wetland,outdoor_temperature,wind_speed_resultant,solar_radiation
"[(-71.037344000000004, 42.291440999999999), (-71.032640400000005, 42.291440999999999), (-71.032640400000005, 42.29402374), (-71.037344000000004, 42.29402374)]",0.0,0.0,0.0,0.36,0.0,0.04,0.0,0.0,0.0,0.51,0.01,22.327976190500003,4.06488095238,1.83333333333
"[(-71.032640400000005, 42.291440999999999), (-71.027936800000006, 42.291440999999999), (-71.027936800000006, 42.29402374), (-71.032640400000005, 42.29402374)]",0.0,0.0,0.16,0.28,0.0,0.06,0.0,0.05,0.23,0.0,0.12,22.327976190500003,4.06488095238,1.83333333333
"[(-71.027936800000006, 42.291440999999999), (-71.023233200000007, 42.291440999999999), (-71.023233200000007, 42.29402374), (-71.027936800000006, 42.29402374)]",0.0,0.0,0.03,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.79,22.327976190500003,4.06488095238,1.83333333333
"[(-71.023233200000007, 42.291440999999999), (-71.018529600000008, 42.291440999999999), (-71.018529600000008, 42.29402374), (-71.023233200000007, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.01,0.76,22.327976190500003,4.06488095238,1.83333333333
"[(-71.018529600000008, 42.291440999999999), (-71.013826000000009, 42.291440999999999), (-71.013826000000009, 42.29402374), (-71.018529600000008, 42.29402374)]",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.5,22.327976190500003,4.06488095238,1.83333333333
"[(-71.013826000000009, 42.291440999999999), (-71.00912240000001, 42.291440999999999), (-71.00912240000001, 42.29402374), (-71.013826000000009, 42.29402374)]",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.00912240000001, 42.291440999999999), (-71.004418799999996, 42.291440999999999), (-71.004418799999996, 42.29402374), (-71.00912240000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.004418799999996, 42.291440999999999), (-70.999715199999997, 42.291440999999999), (-70.999715199999997, 42.29402374), (-71.004418799999996, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.999715199999997, 42.291440999999999), (-70.995011599999998, 42.291440999999999), (-70.995011599999998, 42.29402374), (-70.999715199999997, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.995011599999998, 42.291440999999999), (-70.990307999999999, 42.291440999999999), (-70.990307999999999, 42.29402374), (-70.995011599999998, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.990307999999999, 42.291440999999999), (-70.9856044, 42.291440999999999), (-70.9856044, 42.29402374), (-70.990307999999999, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.9856044, 42.291440999999999), (-70.980900800000001, 42.291440999999999), (-70.980900800000001, 42.29402374), (-70.9856044, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.980900800000001, 42.291440999999999), (-70.976197200000001, 42.291440999999999), (-70.976197200000001, 42.29402374), (-70.980900800000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.976197200000001, 42.291440999999999), (-70.971493600000002, 42.291440999999999), (-70.971493600000002, 42.29402374), (-70.976197200000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-70.971493600000002, 42.291440999999999), (-70.966790000000003, 42.291440999999999), (-70.966790000000003, 42.29402374), (-70.971493600000002, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.201970000000003, 42.29402374), (-71.197266400000004, 42.29402374), (-71.197266400000004, 42.296606480000001), (-71.201970000000003, 42.296606480000001)]",0.82,0.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,23.7761904762,8.49702380952,1.05952380952
