LU,Parameter Name,Site_keys,ppm
"{'Commercial and Services': 0.62, 'Residential': 0.38}",PM2.5 - Local Conditions,[  40.549985 -122.382011],0.008726705000000001
"{'Commercial and Services': 0.25, 'Shrub-brushland rangeland': 0.48, 'Transportation, communications and services': 0.2, 'Herbaceous Rangeland': 0.07}",PM2.5 - Local Conditions,[  41.726892 -122.633579],0.00505
"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}",PM2.5 - Local Conditions,[  37.641583 -120.994622],0.0034615379999999997
"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}",PM2.5 - Local Conditions,[  39.138773 -121.618549],0.0060542370000000005
"{'Commercial and Services': 0.92, 'Residential': 0.08}",PM2.5 - Local Conditions,[  36.332179 -119.291228],0.004936207
"{'Commercial and Services': 0.16, 'Residential': 0.6, 'Other urban or built-up land': 0.18, 'Transportation, communications and services': 0.06}",PM2.5 - combined,[  35.356092 -119.041209],0.018841385000000002
"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}",PM2.5 - combined,[  39.761538 -121.84162 ],0.02982648899999999
"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}",PM2.5 - combined,[  41.560952 -124.083964],0.030753264000000013
{'Evergreen forest land': 1.0},PM2.5 - combined,[  38.976    -120.103506],0.007040785999999999
"{'Residential': 0.01, 'Evergreen forest land': 0.99}",PM2.5 - combined,[  38.9248 -119.97  ],4.804e-06
"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}",PM2.5 - combined,[  36.785322 -119.774174],1.3467000000000002e-05
{'Evergreen forest land': 1.0},PM2.5 - combined,[  37.22064  -119.155557],2.741e-06
"{'Commercial and Services': 0.5, 'Residential': 0.28, 'Cropland and pasture': 0.22}",PM2.5 - combined,[  32.676186 -115.484144],2.3500000000000002e-05
"{'Shrub-brushland rangeland': 0.29, 'Herbaceous Rangeland': 0.71}",PM2.5 - combined,[  37.360684 -118.330783],0.11468584199999995
{'Mixed forest land': 1.0},PM2.5 - combined,[  38.77453 -122.6995 ],5.1379000000000004e-05
"{'Shrub-brushland rangeland': 0.10714285714285714, 'Evergreen forest land': 0.8928571428571429}",PM2.5 - combined,[  38.84846 -122.75797],2.8302e-05
"{'Commercial and Services': 0.62, 'Residential': 0.38}",PM2.5 - combined,[  33.901389 -118.205   ],7.603000000000001e-06
"{'Commercial and Services': 0.77, 'Industrial': 0.02, 'Other urban or built-up land': 0.21}",PM2.5 - combined,[  33.955    -118.056389],0.029035166000000008
"{'Commercial and Services': 0.35, 'Residential': 0.53, 'Other urban or built-up land': 0.12}",PM2.5 - combined,[  33.79236 -118.17533],0.005522651
"{'Residential': 0.19, 'Industrial': 0.21, 'Transportation, communications and services': 0.6}",PM2.5 - combined,[  33.9508  -118.43043],2.7063e-05
"{'Commercial and Services': 0.031088082901554404, 'Industrial': 0.45077720207253885, 'Transportation, communications and services': 0.5181347150259067}",PM2.5 - combined,[  34.06659 -118.22688],5.1360000000000005e-06
"{'Industrial': 0.72, 'Other urban or built-up land': 0.16, 'Transportation, communications and services': 0.12}",PM2.5 - combined,[  34.006389 -118.193056],7.054999999999999e-06
"{'Industrial': 0.63, 'Transportation, communications and services': 0.37}",PM2.5 - combined,[  34.008333 -118.190556],0.005939007999999999
"{'Commercial and Services': 0.03, 'Residential': 0.81, 'Other urban or built-up land': 0.16}",PM2.5 - combined,[  34.01194 -118.06995],0.005137417
"{'Shrub-brushland rangeland': 0.19, 'Cropland and pasture': 0.41, 'Transportation, communications and services': 0.21, 'Evergreen forest land': 0.09, 'Herbaceous Rangeland': 0.1}",PM2.5 - combined,[  34.813034 -118.884819],0.056031790000000005
"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}",PM2.5 - combined,[  38.122979 -122.90944 ],0.023193279
{'Evergreen forest land': 1.0},PM2.5 - combined,[  37.71325 -119.7062 ],0.006693358
"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}",PM2.5 - combined,[  38.088023 -119.178069],0.008427372999999998
"{'Commercial and Services': 0.08333333333333333, 'Residential': 0.375, 'Other urban or built-up land': 0.020833333333333332, 'Evergreen forest land': 0.5208333333333334}",PM2.5 - combined,[  39.81336 -120.47069],0.04586273600000001
