FID,STOP_ID,STOP_NAME,TOWN,TOWN_ID,SHAPE
GISDATA.MBTABUSSTOPS_PT.3366,11799,Ave Louis Pasteur @ The Fenway,BOSTON,35,POINT (-71.10097555193181 42.340263812637865)
GISDATA.MBTABUSSTOPS_PT.3752,1519,Brookline Ave @ Fullerton St,BOSTON,35,POINT (-71.10111861911749 42.344749500480894)
GISDATA.MBTABUSSTOPS_PT.3793,1563,Brookline Ave @ Yawkey Way,BOSTON,35,POINT (-71.09904796411031 42.346725125563474)
GISDATA.MBTABUSSTOPS_PT.2807,951,Commonwealth Ave @ Silber Way,BOSTON,35,POINT (-71.10075230722067 42.349381678702436)
GISDATA.MBTABUSSTOPS_PT.3913,1816,Brookline St @ Green St,CAMBRIDGE,49,POINT (-71.10201282339021 42.36332822113758)
GISDATA.MBTABUSSTOPS_PT.3853,2448,Prospect St @ Broadway,CAMBRIDGE,49,POINT (-71.10108017858113 42.369221408797046)
GISDATA.MBTABUSSTOPS_PT.3852,24490,Broadway @ Prospect St,CAMBRIDGE,49,POINT (-71.10076308725709 42.369219566818906)
GISDATA.MBTABUSSTOPS_PT.4311,1405,Cambridge St @ Prospect St,CAMBRIDGE,49,POINT (-71.0982219526692 42.37340096562726)
GISDATA.MBTABUSSTOPS_PT.4407,2453,45 Beacon St.,SOMERVILLE,274,POINT (-71.10336701836627 42.37581039465624)
GISDATA.MBTABUSSTOPS_PT.4162,2767,Springfield St @ Newton St,SOMERVILLE,274,POINT (-71.0995484910212 42.37635912518083)
GISDATA.MBTABUSSTOPS_PT.4638,12616,Somerville Ave @ School St,SOMERVILLE,274,POINT (-71.10187923214946 42.38194436272459)
GISDATA.MBTABUSSTOPS_PT.1335,25712,Washington St @ Parker St,SOMERVILLE,274,POINT (-71.10030543730696 42.37938356344902)
GISDATA.MBTABUSSTOPS_PT.4745,2520,Avon St @ School St,SOMERVILLE,274,POINT (-71.10013641324683 42.38494737164816)
GISDATA.MBTABUSSTOPS_PT.7079,23821,Medford St @ Trull St,SOMERVILLE,274,POINT (-71.10302870381545 42.39561479784022)
GISDATA.MBTABUSSTOPS_PT.7220,5305,Main St @ Moreland St,SOMERVILLE,274,POINT (-71.09875107641722 42.39636769154888)
GISDATA.MBTABUSSTOPS_PT.7728,2883,Mystic Ave @ Fulbright St,MEDFORD,176,POINT (-71.09819939928896 42.40222127586768)
GISDATA.MBTABUSSTOPS_PT.1529,10427,American Legion Hwy opp Kingbird Rd,BOSTON,35,POINT (-71.09454945460756 42.293205803321314)
GISDATA.MBTABUSSTOPS_PT.2974,1187,Washington St @ Columbus Ave,BOSTON,35,POINT (-71.09782203489704 42.31629759515683)
GISDATA.MBTABUSSTOPS_PT.3481,1219,Columbus Ave @ Centre St,BOSTON,35,POINT (-71.0982293326966 42.32503534928451)
GISDATA.MBTABUSSTOPS_PT.3230,1142,Centre St @ Cedar St,BOSTON,35,POINT (-71.09559611080238 42.327794350148125)
GISDATA.MBTABUSSTOPS_PT.2685,1357,Tremont St opp Roxbury Crossing Sta,BOSTON,35,POINT (-71.09535106707753 42.33155399122049)
GISDATA.MBTABUSSTOPS_PT.915,21773,Vassar St @ Mass Ave,CAMBRIDGE,49,POINT (-71.09400212166102 42.36060978912294)
GISDATA.MBTABUSSTOPS_PT.1312,2531,30 Prospect St,SOMERVILLE,274,POINT (-71.0944794780747 42.378544710960085)
GISDATA.MBTABUSSTOPS_PT.4180,2773,Washington St @ Merriam St,SOMERVILLE,274,POINT (-71.09229607490913 42.37947301439168)
