,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
29,"[(-71.065565599999999, 42.291440999999999), (-71.060862, 42.291440999999999), (-71.060862, 42.29402374), (-71.065565599999999, 42.29402374)]",0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0
30,"[(-71.060862, 42.291440999999999), (-71.056158400000001, 42.291440999999999), (-71.056158400000001, 42.29402374), (-71.060862, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.04,0.0,0.0,0.0
31,"[(-71.056158400000001, 42.291440999999999), (-71.051454800000002, 42.291440999999999), (-71.051454800000002, 42.29402374), (-71.056158400000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0
32,"[(-71.051454800000002, 42.291440999999999), (-71.046751200000003, 42.291440999999999), (-71.046751200000003, 42.29402374), (-71.051454800000002, 42.29402374)]",0.0,0.0,0.0,0.0,0.41,0.0,0.01,0.27,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.07,0.04,0.0,0.0,0.0
33,"[(-71.046751200000003, 42.291440999999999), (-71.042047600000004, 42.291440999999999), (-71.042047600000004, 42.29402374), (-71.046751200000003, 42.29402374)]",0.0,0.0,0.26,0.0,0.11,0.0,0.0,0.01,0.29,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.0,0.0,0.01,0.02
34,"[(-71.042047600000004, 42.291440999999999), (-71.037344000000004, 42.291440999999999), (-71.037344000000004, 42.29402374), (-71.042047600000004, 42.29402374)]",0.0,0.0,0.05,0.0,0.22,0.01,0.0,0.02,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0
35,"[(-71.037344000000004, 42.291440999999999), (-71.032640400000005, 42.291440999999999), (-71.032640400000005, 42.29402374), (-71.037344000000004, 42.29402374)]",0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.51,0.01
36,"[(-71.032640400000005, 42.291440999999999), (-71.027936800000006, 42.291440999999999), (-71.027936800000006, 42.29402374), (-71.032640400000005, 42.29402374)]",0.0,0.0,0.01,0.0,0.0,0.0,0.16,0.07,0.28,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.05,0.23,0.0,0.0,0.12
37,"[(-71.027936800000006, 42.291440999999999), (-71.023233200000007, 42.291440999999999), (-71.023233200000007, 42.29402374), (-71.027936800000006, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.79
38,"[(-71.023233200000007, 42.291440999999999), (-71.018529600000008, 42.291440999999999), (-71.018529600000008, 42.29402374), (-71.023233200000007, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.01,0.76
39,"[(-71.018529600000008, 42.291440999999999), (-71.013826000000009, 42.291440999999999), (-71.013826000000009, 42.29402374), (-71.018529600000008, 42.29402374)]",0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
