,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
14,41,5,102,88154,1,45.28845,-121.782775,WGS84,Selenium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
15,41,5,102,88161,1,45.28845,-121.782775,WGS84,Titanium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0011560000000000001,0.001809,0.009000000000000001,2016-04-06 00:00,0.006,2016-04-18 00:00,0.004,2016-04-09 00:00,0.004,2016-04-21 00:00,,,,,0.009000000000000001,0.009000000000000001,0.004,0.003,0.001,0.001,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
16,41,5,102,88164,1,45.28845,-121.782775,WGS84,Vanadium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
17,41,5,102,88165,1,45.28845,-121.782775,WGS84,Silicon PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.039289,0.066189,0.34600000000000003,2016-04-06 00:00,0.217,2016-04-18 00:00,0.15,2016-04-21 00:00,0.142,2016-05-06 00:00,,,,,0.34600000000000003,0.34600000000000003,0.15,0.127,0.043,0.015,0.001,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
18,41,5,102,88167,1,45.28845,-121.782775,WGS84,Zinc PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0006889999999999999,0.0008210000000000001,0.003,2016-04-09 00:00,0.002,2016-03-19 00:00,0.002,2016-03-31 00:00,0.002,2016-04-03 00:00,,,,,0.003,0.003,0.002,0.002,0.001,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
19,41,5,102,88168,1,45.28845,-121.782775,WGS84,Strontium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,8.9e-05,0.000288,0.001,2016-03-10 00:00,0.001,2016-04-06 00:00,0.001,2016-04-18 00:00,0.001,2016-04-21 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
20,41,5,102,88169,1,45.28845,-121.782775,WGS84,Sulfur PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.065289,0.05533,0.242,2016-04-18 00:00,0.191,2016-04-09 00:00,0.17600000000000002,2016-05-30 00:00,0.147,2016-05-06 00:00,,,,,0.242,0.242,0.17600000000000002,0.134,0.098,0.055,0.006999999999999999,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
21,41,5,102,88176,1,45.28845,-121.782775,WGS84,Rubidium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,4.4e-05,0.00020800000000000001,0.001,2016-01-01 00:00,0.001,2016-03-10 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,,,,,0.001,0.001,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
22,41,5,102,88180,1,45.28845,-121.782775,WGS84,Potassium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.010222,0.009859999999999999,0.035,2016-04-06 00:00,0.035,2016-04-18 00:00,0.034,2016-04-09 00:00,0.027999999999999997,2016-04-21 00:00,,,,,0.035,0.035,0.034,0.025,0.015,0.006,0.001,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
23,41,5,102,88184,1,45.28845,-121.782775,WGS84,Sodium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.043911,0.06207000000000001,0.27,2016-03-10 00:00,0.231,2016-03-01 00:00,0.17800000000000002,2016-05-09 00:00,0.134,2016-02-06 00:00,,,,,0.27,0.27,0.17800000000000002,0.133,0.059000000000000004,0.015,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
