,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
7,53,39,3,88115,1,45.666204,-121.000708,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.053098,0.135156,0.789,2016-02-06 00:00,0.43799999999999994,2016-03-10 00:00,0.313,2016-03-01 00:00,0.285,2016-05-09 00:00,,,,,0.789,0.43799999999999994,0.313,0.111,0.027999999999999997,0.004,0.001,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
8,53,39,3,88126,1,45.666204,-121.000708,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.073157,0.069437,0.34600000000000003,2016-05-18 00:00,0.253,2016-04-09 00:00,0.251,2016-04-27 00:00,0.195,2016-05-09 00:00,,,,,0.34600000000000003,0.253,0.251,0.163,0.099,0.047,0.017,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
9,53,39,3,88128,1,45.666204,-121.000708,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.00049,0.000505,0.001,2016-01-01 00:00,0.001,2016-01-04 00:00,0.001,2016-01-07 00:00,0.001,2016-01-16 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
10,53,39,3,88132,1,45.666204,-121.000708,WGS84,Manganese PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.001588,0.001972,0.009000000000000001,2016-05-18 00:00,0.006999999999999999,2016-04-09 00:00,0.006,2016-04-27 00:00,0.006,2016-05-09 00:00,,,,,0.009000000000000001,0.006999999999999999,0.006,0.005,0.002,0.001,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
11,53,39,3,88136,1,45.666204,-121.000708,WGS84,Nickel PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
12,53,39,3,88140,1,45.666204,-121.000708,WGS84,Magnesium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.020451,0.021428,0.095,2016-02-06 00:00,0.086,2016-05-09 00:00,0.057999999999999996,2016-04-09 00:00,0.055,2016-04-27 00:00,,,,,0.095,0.086,0.057999999999999996,0.048,0.027000000000000003,0.016,0.002,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
13,53,39,3,88152,1,45.666204,-121.000708,WGS84,Phosphorus PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.00021600000000000002,0.00041500000000000006,0.001,2016-01-22 00:00,0.001,2016-01-25 00:00,0.001,2016-01-28 00:00,0.001,2016-02-03 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
14,53,39,3,88154,1,45.666204,-121.000708,WGS84,Selenium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
15,53,39,3,88161,1,45.666204,-121.000708,WGS84,Titanium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.005176,0.007345,0.034,2016-05-18 00:00,0.025,2016-04-09 00:00,0.024,2016-04-27 00:00,0.02,2016-05-09 00:00,,,,,0.034,0.025,0.024,0.016,0.006999999999999999,0.002,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
16,53,39,3,88164,1,45.666204,-121.000708,WGS84,Vanadium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,5.9e-05,0.00023799999999999998,0.001,2016-04-09 00:00,0.001,2016-04-27 00:00,0.001,2016-05-18 00:00,0.0,2016-01-01 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,WISHRAM - HWY 14,1/4 MILE OFF HWY 14 - 1 MI. W OF WISHRAM,Washington,Klickitat,,,2017-04-25,[  45.666204 -121.000708],{'Herbaceous Rangeland': 1.0}
