,Routes,Speed at 19-06-17 21,Travel Time at 19-06-17 21,Speed at 19-06-17  22,Travel Time at 19-06-17  22,Speed at 19-06-17  23,Travel Time at 19-06-17  23
160,3282 - G-109 - 90EB-TTS-119.8 to 3356 - R-120 - 90EB-TTR-122.7,Greater than 50 mph,2 min 35 sec,Greater than 50 mph,2 min 35 sec,Greater than 50 mph,2 min 35 sec
161,3282 - G-109 - 90EB-TTS-119.8 to 3297 - R-21 - 90EB-TTR-116.6,Greater than 50 mph,5 min 41 sec,Greater than 50 mph,5 min 41 sec,Greater than 50 mph,5 min 41 sec
162,3274 - G-115 - 93SB-TTS-3 to 3262 - G-114 - 93NB-TTS-2.6,Greater than 50 mph,0 min 21 sec,Greater than 50 mph,0 min 21 sec,Greater than 50 mph,0 min 21 sec
163,3274 - G-115 - 93SB-TTS-3 to 3162 - G-128 - 93NB-TTS-5.8,Greater than 50 mph,5 min 22 sec,Greater than 50 mph,5 min 22 sec,Greater than 50 mph,5 min 22 sec
164,3268 - G-22 - 90EB-TTS-110.7 to 3322 - G-23 - 90WB-TTS-112.2,Greater than 50 mph,1 min 22 sec,Greater than 50 mph,1 min 22 sec,Greater than 50 mph,1 min 22 sec
165,3268 - G-22 - 90EB-TTS-110.7 to 3010 - R-19 - 90WB-TTR-106.1,Greater than 50 mph,4 min 14 sec,Greater than 50 mph,4 min 14 sec,Greater than 50 mph,4 min 14 sec
166,3267 - G-82 - 3SB-TTS-37.8 to 3283 - G-124 - 3NB-TTS-36.8,Greater than 50 mph,0 min 50 sec,Greater than 50 mph,0 min 50 sec,Greater than 50 mph,0 min 50 sec
167,3267 - G-82 - 3SB-TTS-37.8 to 3095 - R-102 - 3NB-TTR-38.2,Greater than 50 mph,0 min 16 sec,Greater than 50 mph,0 min 16 sec,Greater than 50 mph,0 min 16 sec
168,3265 - G-129 - 93SB-TTS-8.4 to 3311 - R-103 - 93SB-TTR-7.6,Less than 30 mph,3 min 43 sec,Less than 30 mph,3 min 43 sec,Less than 30 mph,3 min 43 sec
169,3265 - G-129 - 93SB-TTS-8.4 to 3301 - R-114 - 93NB-TTR-10.6,Greater than 50 mph,2 min 14 sec,Greater than 50 mph,2 min 14 sec,Greater than 50 mph,2 min 14 sec
170,3264 - G-85 - 3SB-TTS-20.6 to 3288 - G-89 - 3NB-TTS-19.2,Greater than 50 mph,1 min 25 sec,Greater than 50 mph,1 min 25 sec,Greater than 50 mph,1 min 25 sec
171,3264 - G-85 - 3SB-TTS-20.6 to 3145 - G-90 - 3NB-TTS-25.2,Greater than 50 mph,4 min 1 sec,Greater than 50 mph,4 min 1 sec,Greater than 50 mph,4 min 1 sec
172,3262 - G-114 - 93NB-TTS-2.6 to 3274 - G-115 - 93SB-TTS-3,Between 30 and 40 mph,0 min 47 sec,Between 30 and 40 mph,0 min 47 sec,Between 30 and 40 mph,0 min 47 sec
173,3262 - G-114 - 93NB-TTS-2.6 to 3167 - R-113 - 93SB-TTR-0.5,Greater than 50 mph,2 min 0 sec,Greater than 50 mph,2 min 0 sec,Greater than 50 mph,2 min 0 sec
174,3254 - G-131 - 90EB-TTS-124.5 to 3365 - G-110 - 90EB-TTS-126.8,Greater than 50 mph,2 min 13 sec,Greater than 50 mph,2 min 13 sec,Greater than 50 mph,2 min 13 sec
175,3254 - G-131 - 90EB-TTS-124.5 to 3346 - R-101 - 90EB-TTR-123.3,Between 30 and 40 mph,3 min 34 sec,Between 30 and 40 mph,3 min 34 sec,Between 30 and 40 mph,3 min 34 sec
176,3251 - G-83 - 3SB-TTS-31.7 to 3080 - R-78 - 3NB-TTR-36.1,Greater than 50 mph,4 min 4 sec,Greater than 50 mph,4 min 4 sec,Greater than 50 mph,4 min 4 sec
177,3251 - G-83 - 3SB-TTS-31.7 to 3047 - G-84 - 3SB-TTS-26.9,Greater than 50 mph,4 min 35 sec,Greater than 50 mph,4 min 35 sec,Greater than 50 mph,4 min 35 sec
178,3247 - G-87 - 3SB-TTS-6.8 to Rt. 3 SB before Exit 2 to Herring Pond Rd in Cedarville(Location 3),Greater than 50 mph,4 min 3 sec,Greater than 50 mph,4 min 3 sec,Greater than 50 mph,4 min 3 sec
179,3233 - R-38 - 93SB-TTR-45.7 to 3040 - G-35 - 93SB-TTS-44.3,Greater than 50 mph,1 min 15 sec,Greater than 50 mph,1 min 15 sec,Greater than 50 mph,1 min 15 sec
180,3231 - G-38 - 93NB-TTS-32.1 to 3203 - R-56 - 93SB-TTR-30.1,Greater than 50 mph,1 min 53 sec,Greater than 50 mph,1 min 53 sec,Greater than 50 mph,1 min 53 sec
181,3231 - G-38 - 93NB-TTS-32.1 to 3008 - R-58 - 93NB-TTR-34.5,Greater than 50 mph,3 min 39 sec,Greater than 50 mph,3 min 39 sec,Greater than 50 mph,3 min 39 sec
182,3203 - R-56 - 93SB-TTR-30.1 to 3231 - G-38 - 93NB-TTS-32.1,Greater than 50 mph,3 min 32 sec,Greater than 50 mph,3 min 32 sec,Greater than 50 mph,3 min 32 sec
183,3203 - R-56 - 93SB-TTR-30.1 to 3184 - R-39 - 93NB-TTR-28.3,Greater than 50 mph,1 min 40 sec,Greater than 50 mph,1 min 40 sec,Greater than 50 mph,1 min 40 sec
184,3192 - R-57 - 93SB-TTR-23.4 to 3367 - G-39 - 93SB-TTS-24.9,Greater than 50 mph,2 min 8 sec,Greater than 50 mph,2 min 8 sec,Greater than 50 mph,2 min 8 sec
185,3192 - R-57 - 93SB-TTR-23.4 to 3338 - G-62 - 93NB-TTS-21.1,Greater than 50 mph,2 min 10 sec,Greater than 50 mph,2 min 10 sec,Greater than 50 mph,2 min 10 sec
186,3184 - R-39 - 93NB-TTR-28.3 to 3367 - G-39 - 93SB-TTS-24.9,Greater than 50 mph,3 min 11 sec,Greater than 50 mph,3 min 11 sec,Greater than 50 mph,3 min 11 sec
187,3184 - R-39 - 93NB-TTR-28.3 to 3203 - R-56 - 93SB-TTR-30.1,Greater than 50 mph,2 min 10 sec,Greater than 50 mph,2 min 10 sec,Greater than 50 mph,2 min 10 sec
188,3179 - R-130 - 3NB-TTR-42.1 to 3327 - G-107 - 3NB-TTS-39.9,Between 30 and 40 mph,5 min 25 sec,Between 30 and 40 mph,5 min 25 sec,Between 30 and 40 mph,5 min 25 sec
189,3179 - R-130 - 3NB-TTR-42.1 to 3099 - G-125 - 3SB-TTS-42.4 was 3309 until 10-17,Greater than 50 mph,0 min 28 sec,Greater than 50 mph,0 min 28 sec,Greater than 50 mph,0 min 28 sec
190,3172 - R-59 - 93NB-TTR-37.5 to 3124 - G-36 - 93SB-TTS-36.1,Greater than 50 mph,1 min 24 sec,Greater than 50 mph,1 min 24 sec,Greater than 50 mph,1 min 24 sec
191,3172 - R-59 - 93NB-TTR-37.5 to 3014 - R-55 - 93SB-TTR-40.6,Between 30 and 40 mph,8 min 32 sec,Between 30 and 40 mph,8 min 32 sec,Between 30 and 40 mph,8 min 32 sec
192,3167 - R-113 - 93SB-TTR-0.5 to 3262 - G-114 - 93NB-TTS-2.6,Between 30 and 40 mph,4 min 41 sec,Between 30 and 40 mph,4 min 41 sec,Between 30 and 40 mph,4 min 41 sec
193,3162 - G-128 - 93NB-TTS-5.8 to 3274 - G-115 - 93SB-TTS-3,Between 30 and 40 mph,6 min 30 sec,Between 30 and 40 mph,6 min 30 sec,Between 30 and 40 mph,6 min 30 sec
194,3162 - G-128 - 93NB-TTS-5.8 to 3005 - R-116 - 93NB-TTR-6.9,Between 30 and 40 mph,3 min 5 sec,Between 30 and 40 mph,3 min 5 sec,Between 30 and 40 mph,3 min 5 sec
195,3145 - G-90 - 3NB-TTS-25.2 to 3264 - G-85 - 3SB-TTS-20.6,Greater than 50 mph,4 min 9 sec,Greater than 50 mph,4 min 9 sec,Greater than 50 mph,4 min 9 sec
196,3145 - G-90 - 3NB-TTS-25.2 to 3118 - R-92 - 3NB-TTR-26.9,Greater than 50 mph,1 min 37 sec,Greater than 50 mph,1 min 37 sec,Greater than 50 mph,1 min 37 sec
197,3135 - R-22 - 90EB-TTR-78.8 to 3366 - G-25 - 90WB-TTS-85.8,Greater than 50 mph,6 min 27 sec,Greater than 50 mph,6 min 27 sec,Greater than 50 mph,6 min 27 sec
198,3124 - G-36 - 93SB-TTS-36.1 to 3172 - R-59 - 93NB-TTR-37.5,Between 30 and 40 mph,3 min 27 sec,Between 30 and 40 mph,3 min 27 sec,Between 30 and 40 mph,3 min 27 sec
199,3124 - G-36 - 93SB-TTS-36.1 to 3008 - R-58 - 93NB-TTR-34.5,Greater than 50 mph,1 min 23 sec,Greater than 50 mph,1 min 23 sec,Greater than 50 mph,1 min 23 sec
