,		State Code,County Code,Tribal Code,Site ID,Support Agency Code,Location Address,City Code,Postal Code,Local ID,Local Name,Urban Area Code,AQCR Code,Land Use ID,Location Setting ID,Site Established Date,Latitude,Longitude,Horizontal Method Code,Horizontal Datum ID,Parameter Code,Parameter Name,Substance Occurrence Code,Duration Code,Method ID,Measure Unit Code,Sample Collection Start Date,Sample Collection Start Time,Measure Value,Measure Unit,Null Data Code,Qualifier Code,Data Validity Code
11,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-22 22:00:00,334.0,3,ug/m3 LC,,,RAW
12,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-22 23:00:00,335.0,1,ug/m3 LC,,,RAW
13,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 00:00:00,336.0,3,ug/m3 LC,,,RAW
14,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 09:00:00,345.0,16,ug/m3 LC,,,RAW
15,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 10:00:00,346.0,18,ug/m3 LC,,,RAW
16,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 11:00:00,347.0,20,ug/m3 LC,,,RAW
17,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 12:00:00,348.0,17,ug/m3 LC,,,RAW
18,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 13:00:00,349.0,20,ug/m3 LC,,,RAW
19,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 14:00:00,350.0,20,ug/m3 LC,,,RAW
20,				MA,'025,,'250250044,'0660,19 Von Hillern Street,7000,'02125,Boston Von Hillern,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,2013-04-25,42.325184,-71.05608000000001,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,1,1,'731 ,'105,2017-06-21 18:00:00,354.0,2,ug/m3 LC,,,RAW
