,Parameter Name,Site_keys,LU,ppm
24,Suspended particulate (TSP),[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}",48.517857
25,Suspended particulate (TSP),[ 42.192877 -71.195053],"{'Commercial and Services': 0.23076923076923078, 'Residential': 0.38461538461538464, 'Transportation, communications and services': 0.38461538461538464}",45.066666999999995
26,Suspended particulate (TSP),[ 42.079822 -71.014768],"{'Commercial and Services': 0.40476190476190477, 'Residential': 0.5952380952380952}",52.877193000000005
27,Suspended particulate (TSP),[ 42.402597 -70.992272],"{'Commercial and Services': 0.2, 'Residential': 0.8}",66.05357099999999
28,Suspended particulate (TSP),[ 42.329542 -71.067828],"{'Commercial and Services': 0.49, 'Residential': 0.01, 'Transportation, communications and services': 0.5}",58.415093999999996
29,Suspended particulate (TSP),[ 42.343987 -71.091163],"{'Commercial and Services': 0.2712765957446808, 'Residential': 0.19680851063829788, 'Transportation, communications and services': 0.5319148936170213}",61.169492000000005
30,Suspended particulate (TSP),[ 42.392041 -71.034495],"{'Commercial and Services': 0.55, 'Residential': 0.4, 'Industrial': 0.04, 'Transportation, communications and services': 0.01}",55.578947
31,Suspended particulate (TSP),[ 42.57509  -71.790906],"{'Commercial and Services': 0.26, 'Residential': 0.62, 'Industrial': 0.12}",64.2
32,Suspended particulate (TSP),[ 42.5837   -71.803407],"{'Commercial and Services': 0.15, 'Residential': 0.24, 'Other urban or built-up land': 0.13, 'Industrial': 0.46, 'Deciduous forest land': 0.02}",56.474576
33,Suspended particulate (TSP),[ 42.258704 -71.800072],"{'Commercial and Services': 0.23376623376623376, 'Residential': 0.1038961038961039, 'Industrial': 0.16233766233766234, 'Other urban or built-up land': 0.05844155844155844, 'Transportation, communications and services': 0.44155844155844154}",51.481481
34,Suspended particulate (TSP),[ 42.273982 -71.759515],"{'Industrial': 0.15, 'Commercial and Services': 0.04, 'Residential': 0.215, 'Other urban or built-up land': 0.07, 'Lakes': 0.025, 'Transportation, communications and services': 0.5}",65.9375
35,Suspended particulate (TSP),[ 42.260102 -71.798375],"{'Commercial and Services': 0.3422818791946309, 'Residential': 0.08053691275167785, 'Industrial': 0.03355704697986577, 'Other urban or built-up land': 0.087248322147651, 'Transportation, communications and services': 0.4563758389261745}",65.901639
36,Suspended particulate (TSP),[ 42.273704 -71.799516],"{'Commercial and Services': 0.66, 'Residential': 0.25, 'Reservoirs': 0.05, 'Transportation, communications and services': 0.04}",61.303571
37,Suspended particulate (TSP),[ 42.574532 -71.995633],"{'Commercial and Services': 0.20930232558139536, 'Residential': 0.046511627906976744, 'Mixed forest land': 0.7441860465116279}",60.444444
38,Suspended particulate (TSP),[ 42.263426 -71.802016],"{'Commercial and Services': 0.5445544554455446, 'Residential': 0.43564356435643564, 'Transportation, communications and services': 0.019801980198019802}",44.765957
39,Suspended particulate (TSP),[ 42.250093 -71.82396 ],"{'Commercial and Services': 0.07, 'Residential': 0.86, 'Other urban or built-up land': 0.07}",54.571429
40,Suspended particulate (TSP),[ 42.593698 -72.22786 ],"{'Commercial and Services': 0.31, 'Residential': 0.42, 'Industrial': 0.27}",51.528302000000004
